FNAME,LNAME,SEX,YOB,CITIZEN,HIRED,LEADER,MSOLO,MSUCCESS,MPERHIGHPT,MYEAR,MSEASON,INJURY,DEATH,INJURYTYPE,DEATHTYPE,MO2USED
Marzio,Babille,M,1953,Italy,FALSE,FALSE,FALSE,FALSE,0,1980,3,FALSE,FALSE,0,0,FALSE
Enrico,Bertoldin,M,1936,Italy,FALSE,FALSE,FALSE,FALSE,0,1980,3,FALSE,FALSE,0,0,FALSE
Azio (Vincezo),Bidoia,M,,Italy,FALSE,FALSE,FALSE,FALSE,0,1980,3,FALSE,FALSE,0,0,FALSE
Paolo,Bizzarro,M,1949,Italy,FALSE,FALSE,FALSE,FALSE,0,1980,3,FALSE,FALSE,0,0,FALSE
Rat,Bootong,M,1943,Thailand,FALSE,FALSE,FALSE,FALSE,0,1980,3,FALSE,FALSE,0,0,FALSE
Massimo Piero,Cappon,M,1949,Italy,FALSE,FALSE,FALSE,FALSE,0,1980,3,FALSE,FALSE,0,0,FALSE
Giampaolo,Casarotto,M,1956,Italy,FALSE,FALSE,FALSE,FALSE,0,1980,3,FALSE,FALSE,0,0,FALSE
Andrea,Cassutti,M,1954,Italy,FALSE,FALSE,FALSE,FALSE,0,1980,3,FALSE,FALSE,0,0,FALSE
Phansak,Chansakul,M,,Thailand,FALSE,FALSE,FALSE,FALSE,0,1980,3,FALSE,FALSE,0,0,FALSE
Alfredo,Dal Santo,M,,Italy,FALSE,FALSE,FALSE,FALSE,0,1980,3,FALSE,FALSE,0,0,FALSE
Riccarda,De Eccher,F,1954,Italy,FALSE,FALSE,FALSE,FALSE,8000,1980,3,FALSE,FALSE,0,0,FALSE
Lucio,De Franceschi,M,1956,Italy,FALSE,FALSE,FALSE,FALSE,0,1980,3,FALSE,FALSE,0,0,FALSE
Giuliano,De Marchi,M,1947,Italy,FALSE,FALSE,FALSE,FALSE,8763,1980,3,FALSE,FALSE,0,0,TRUE
Enzo,De Menech,M,1951,Italy,FALSE,FALSE,FALSE,FALSE,0,1980,3,FALSE,FALSE,0,0,FALSE
Kurt,Diemberger,M,1932,Austria,FALSE,FALSE,FALSE,FALSE,8000,1980,3,FALSE,FALSE,0,0,FALSE
Paolo,Donega,M,1946,Italy,FALSE,FALSE,FALSE,FALSE,0,1980,3,FALSE,FALSE,0,0,FALSE
Francesca,Framarin,F,1947,Italy,FALSE,FALSE,FALSE,FALSE,0,1980,3,FALSE,FALSE,0,0,FALSE
Laura,Gelson,F,1951,Italy,FALSE,FALSE,FALSE,FALSE,0,1980,3,FALSE,FALSE,0,0,FALSE
Almo,Giambisi,M,1938,Italy,FALSE,FALSE,FALSE,FALSE,8000,1980,3,FALSE,FALSE,0,0,FALSE
Sergio,Martini,M,1949,Italy,FALSE,FALSE,FALSE,FALSE,8763,1980,3,FALSE,FALSE,0,0,TRUE
Alessandro,Masucci,M,1943,Italy,FALSE,FALSE,FALSE,FALSE,7400,1980,3,FALSE,FALSE,0,0,FALSE
Sandra,Matjak,F,1950,Italy,FALSE,FALSE,FALSE,FALSE,0,1980,3,FALSE,FALSE,0,0,FALSE
Giancarlo,Milan,M,1951,Italy,FALSE,FALSE,FALSE,FALSE,0,1980,3,FALSE,FALSE,0,0,FALSE
Piero,Mozzi,M,1952,Italy,FALSE,FALSE,FALSE,FALSE,0,1980,3,FALSE,FALSE,0,0,FALSE
Jiri,Novak,M,1945,Czechoslovakia,FALSE,FALSE,FALSE,FALSE,0,1980,3,FALSE,FALSE,0,0,FALSE
Guido,Pagani,M,1952,Italy,FALSE,FALSE,FALSE,FALSE,0,1980,3,FALSE,FALSE,0,0,FALSE
Giorgio,Peruzzi,M,1937,Italy,FALSE,FALSE,FALSE,FALSE,0,1980,3,FALSE,FALSE,0,0,FALSE
Mario (Franco),Piana,M,1943,Italy,FALSE,FALSE,FALSE,FALSE,0,1980,3,FALSE,TRUE,0,7,FALSE
Francesco,Piardi,M,1960,Italy,FALSE,FALSE,FALSE,FALSE,0,1980,3,FALSE,FALSE,0,0,FALSE
Pietro,Radin,M,1943,Italy,FALSE,FALSE,FALSE,FALSE,8000,1980,3,FALSE,FALSE,0,0,FALSE
Luigi Aldo,Rampini,M,1943,Italy,FALSE,FALSE,FALSE,FALSE,0,1980,3,FALSE,FALSE,0,0,FALSE
Francesco,Santon,M,1939,Italy,FALSE,TRUE,FALSE,FALSE,0,1980,3,FALSE,FALSE,0,0,FALSE
Adelchi,Silvera,M,1937,Italy,FALSE,FALSE,FALSE,FALSE,0,1980,3,FALSE,FALSE,0,0,FALSE
Andrea,Segalin,M,1957,Italy,FALSE,FALSE,FALSE,FALSE,8000,1980,3,FALSE,FALSE,0,0,FALSE
Luciano,Tellaroli,M,1947,Italy,FALSE,FALSE,FALSE,FALSE,8000,1980,3,FALSE,FALSE,0,0,FALSE
Giampaolo,Zernetti,M,1943,Italy,FALSE,FALSE,FALSE,FALSE,0,1980,3,FALSE,FALSE,0,0,FALSE
Padam Singh,Ghale,M,1952,Nepal,FALSE,FALSE,FALSE,FALSE,0,1980,3,FALSE,FALSE,0,0,FALSE
Krishna Bahadur,Karki,M,,Nepal,FALSE,FALSE,FALSE,FALSE,0,1980,3,FALSE,FALSE,0,0,FALSE
Pradeep Kumar,Karki,M,1953,Nepal,FALSE,FALSE,FALSE,FALSE,0,1980,3,FALSE,FALSE,0,0,FALSE
Ang Phuri,Lama,M,1948,Nepal,FALSE,FALSE,FALSE,FALSE,0,1980,3,FALSE,FALSE,0,0,FALSE
Gupta Bahadur,Rana,M,1945,Nepal,FALSE,FALSE,FALSE,FALSE,0,1980,3,FALSE,FALSE,0,0,FALSE
Ang Kami,Sherpa,M,,Nepal,FALSE,FALSE,FALSE,FALSE,0,1980,3,FALSE,FALSE,0,0,FALSE
Ang Maya,Sherpa,F,,Nepal,FALSE,FALSE,FALSE,FALSE,0,1980,3,FALSE,FALSE,0,0,FALSE
Ang Rita,Sherpa,F,,Nepal,FALSE,FALSE,FALSE,FALSE,0,1980,3,FALSE,FALSE,0,0,FALSE
Ang Tendi,Sherpa,M,,Nepal,FALSE,FALSE,FALSE,FALSE,0,1980,3,FALSE,FALSE,0,0,FALSE
Gyalzen,Sherpa,M,1950,Nepal,FALSE,FALSE,FALSE,FALSE,0,1980,3,FALSE,FALSE,0,0,FALSE
Kalden,Sherpa,M,,Nepal,FALSE,FALSE,FALSE,FALSE,0,1980,3,FALSE,FALSE,0,0,FALSE
Lhakpa Norbu,Sherpa,M,1957,Nepal,FALSE,FALSE,FALSE,FALSE,0,1980,3,FALSE,FALSE,0,0,FALSE
Nima Norbu,Sherpa,M,1953,Nepal,FALSE,FALSE,FALSE,FALSE,0,1980,3,FALSE,FALSE,0,0,FALSE
Sange,Sherpa,M,,Nepal,FALSE,FALSE,FALSE,FALSE,0,1980,3,FALSE,FALSE,0,0,FALSE
Tashi Jangbu,Sherpa,M,1959,Nepal,FALSE,FALSE,FALSE,FALSE,0,1980,3,FALSE,FALSE,0,0,FALSE
Etsuo,Akutsu,M,1938,Japan,FALSE,FALSE,FALSE,FALSE,7800,1980,4,FALSE,FALSE,0,0,FALSE
Masaki,Doi,M,1938,Japan,FALSE,FALSE,FALSE,FALSE,0,1980,4,FALSE,FALSE,0,0,FALSE
Masuo,Harada,M,1942,Japan,FALSE,FALSE,FALSE,FALSE,0,1980,4,FALSE,FALSE,0,0,FALSE
Takashi,Kitagawa,M,1948,Japan,FALSE,FALSE,FALSE,FALSE,0,1980,4,FALSE,FALSE,0,0,FALSE
Takashi,Koaze,M,1935,Japan,FALSE,FALSE,FALSE,FALSE,0,1980,4,FALSE,FALSE,0,0,FALSE
Kenichi,Matsuda,M,1954,Japan,FALSE,FALSE,FALSE,FALSE,7800,1980,4,FALSE,FALSE,0,0,FALSE
Toichiro,Mitani,M,1956,Japan,FALSE,FALSE,FALSE,FALSE,8000,1980,4,FALSE,FALSE,0,0,TRUE
Hideki,Nishimura,M,1951,Japan,FALSE,FALSE,FALSE,FALSE,0,1980,4,FALSE,FALSE,0,0,FALSE
Jun,Nose,M,1932,Japan,FALSE,FALSE,FALSE,FALSE,0,1980,4,FALSE,FALSE,0,0,FALSE
Shuichi,Okazawa,M,1949,Japan,FALSE,FALSE,FALSE,FALSE,0,1980,4,FALSE,FALSE,0,0,FALSE
Masaharu,Shimazu,M,1949,Japan,FALSE,FALSE,FALSE,FALSE,0,1980,4,FALSE,FALSE,0,0,FALSE
Toyozo,Sugasawa,M,1943,Japan,FALSE,FALSE,FALSE,FALSE,7300,1980,4,TRUE,FALSE,3,0,FALSE
Shigeru,Takei,M,1949,Japan,FALSE,FALSE,FALSE,FALSE,0,1980,4,FALSE,FALSE,0,0,FALSE
Noboru,Takenaka,M,1952,Japan,FALSE,FALSE,FALSE,FALSE,7300,1980,4,FALSE,TRUE,0,4,FALSE
Akio,Ueki,M,1947,Japan,FALSE,FALSE,FALSE,FALSE,0,1980,4,FALSE,FALSE,0,0,FALSE
Naomi,Uemura,M,1941,Japan,FALSE,TRUE,FALSE,FALSE,7800,1980,4,FALSE,FALSE,0,0,FALSE
Minoru,Yoshida,M,1952,Japan,FALSE,FALSE,FALSE,FALSE,0,1980,4,FALSE,FALSE,0,0,FALSE
Adrian (Aid),Burgess,M,1948,UK,FALSE,FALSE,FALSE,FALSE,7300,1980,4,FALSE,FALSE,0,0,FALSE
Alan,Burgess,M,1948,UK,FALSE,FALSE,FALSE,FALSE,0,1980,4,FALSE,FALSE,0,0,FALSE
Brian P.,Hall,M,1951,UK,FALSE,FALSE,FALSE,FALSE,0,1980,4,FALSE,FALSE,0,0,FALSE
Allen,Jewhurst,M,1950,UK,FALSE,FALSE,FALSE,FALSE,0,1980,4,FALSE,FALSE,0,0,FALSE
Paul James,Nunn,M,1943,UK,FALSE,FALSE,FALSE,FALSE,0,1980,4,FALSE,FALSE,0,0,FALSE
John E.,Porter,M,1946,UK,FALSE,FALSE,FALSE,FALSE,6860,1980,4,FALSE,FALSE,0,0,FALSE
Graham,Robinson,M,1954,UK,FALSE,FALSE,FALSE,FALSE,0,1980,4,FALSE,FALSE,0,0,FALSE
Alan Paul (Al),Rouse,M,1951,UK,FALSE,TRUE,FALSE,FALSE,0,1980,4,FALSE,FALSE,0,0,FALSE
Mike,Shrimpton,M,1945,UK,FALSE,FALSE,FALSE,FALSE,0,1980,4,FALSE,FALSE,0,0,FALSE
Joseph Thomas (Joe),Tasker,M,1948,UK,FALSE,FALSE,FALSE,FALSE,7300,1980,4,FALSE,FALSE,0,0,FALSE
Peter,Thexton,M,1953,UK,FALSE,FALSE,FALSE,FALSE,7160,1980,4,FALSE,FALSE,0,0,FALSE
Yasuaki,Arai,M,1952,Japan,FALSE,FALSE,FALSE,FALSE,0,1981,1,FALSE,FALSE,0,0,FALSE
Atsuhiro,Aso,M,1942,Japan,FALSE,FALSE,FALSE,FALSE,0,1981,1,FALSE,FALSE,0,0,FALSE
Ryoten,Hasegawa,M,1947,Japan,FALSE,FALSE,FALSE,FALSE,8100,1981,1,FALSE,FALSE,0,0,TRUE
Yasuaki,Hayashida,M,1955,Japan,FALSE,FALSE,FALSE,FALSE,0,1981,1,FALSE,FALSE,0,0,FALSE
Takeichi,Katano,M,1908,Japan,FALSE,FALSE,FALSE,FALSE,0,1981,1,FALSE,FALSE,0,0,FALSE
Shunichi,Machi,M,1947,Japan,FALSE,FALSE,FALSE,FALSE,0,1981,1,FALSE,FALSE,0,0,FALSE
Kenichi,Matsuda,M,1954,Japan,FALSE,FALSE,FALSE,FALSE,8350,1981,1,FALSE,FALSE,0,0,TRUE
Sadaki,Matsumura,M,1959,Japan,FALSE,FALSE,FALSE,FALSE,0,1981,1,FALSE,FALSE,0,0,FALSE
Toichiro,Mitani,M,1956,Japan,FALSE,FALSE,FALSE,FALSE,8350,1981,1,FALSE,FALSE,0,0,TRUE
Shinichi,Nakajima,M,1938,Japan,FALSE,TRUE,FALSE,FALSE,0,1981,1,FALSE,FALSE,0,0,FALSE
Norio,Nakanishi,M,1958,Japan,FALSE,FALSE,FALSE,FALSE,8250,1981,1,FALSE,FALSE,0,0,TRUE
Makoto,Nebuka,M,1947,Japan,FALSE,FALSE,FALSE,FALSE,0,1981,1,FALSE,FALSE,0,0,FALSE
Kazuo,Nishimura,M,1944,Japan,FALSE,FALSE,FALSE,FALSE,0,1981,1,FALSE,FALSE,0,0,FALSE
Norio,Onishi,M,1954,Japan,FALSE,FALSE,FALSE,FALSE,0,1981,1,FALSE,FALSE,0,0,FALSE
Junichi,Sakamoto,M,1950,Japan,FALSE,FALSE,FALSE,FALSE,0,1981,1,FALSE,FALSE,0,0,FALSE
Kazuyoshi,Sakuma,M,1956,Japan,FALSE,FALSE,FALSE,FALSE,0,1981,1,FALSE,FALSE,0,0,FALSE
Shin,Taguchi,M,1958,Japan,FALSE,FALSE,FALSE,FALSE,8750,1981,1,FALSE,FALSE,0,0,TRUE
Tsuyoshi,Takano,M,1959,Japan,FALSE,FALSE,FALSE,FALSE,0,1981,1,FALSE,FALSE,0,0,FALSE
Junichi,Tanaka,M,1952,Japan,FALSE,FALSE,FALSE,FALSE,8750,1981,1,FALSE,FALSE,0,0,TRUE
Koichi,Wada,M,1952,Japan,FALSE,FALSE,FALSE,FALSE,0,1981,1,FALSE,FALSE,0,0,FALSE
F. Duane,Blume,M,1933,USA,FALSE,FALSE,FALSE,FALSE,0,1981,3,FALSE,FALSE,0,0,FALSE
Stephen (Steve),Boyer,M,1946,USA,FALSE,FALSE,FALSE,FALSE,7530,1981,3,FALSE,FALSE,0,0,FALSE
John P.,Evans,M,1938,USA,FALSE,FALSE,FALSE,FALSE,7530,1981,3,FALSE,FALSE,0,0,FALSE
David J.,Graber,M,1951,USA,FALSE,FALSE,FALSE,FALSE,8050,1981,3,FALSE,FALSE,0,0,FALSE
Peter Harvey,Hackett,M,1947,USA,FALSE,FALSE,FALSE,TRUE,8849,1981,3,FALSE,FALSE,0,0,TRUE
David P.,Jones,M,1948,Canada,FALSE,FALSE,FALSE,FALSE,8050,1981,3,FALSE,FALSE,0,0,TRUE
Christopher M. (Kris),Kopczynski,M,1948,USA,FALSE,FALSE,FALSE,TRUE,8849,1981,3,FALSE,FALSE,0,0,TRUE
Rodney Allison,Korich,M,1947,USA,FALSE,FALSE,FALSE,FALSE,0,1981,3,FALSE,FALSE,0,0,FALSE
Sukhamay,Lahiri,M,1933,India,FALSE,FALSE,FALSE,FALSE,0,1981,3,FALSE,FALSE,0,0,FALSE
Jeff,Lowe,M,1950,USA,FALSE,FALSE,FALSE,FALSE,7530,1981,3,FALSE,FALSE,0,0,FALSE
Karl,Maret,M,1948,Canada,FALSE,FALSE,FALSE,FALSE,0,1981,3,FALSE,FALSE,0,0,FALSE
James Sibree (Jim),Milledge,M,1930,UK,FALSE,FALSE,FALSE,FALSE,0,1981,3,FALSE,FALSE,0,0,FALSE
Richard,Peters,M,1955,USA,FALSE,FALSE,FALSE,FALSE,0,1981,3,FALSE,FALSE,0,0,FALSE
Christopher J. (Chris),Pizzo,M,1949,USA,FALSE,FALSE,FALSE,TRUE,8849,1981,3,FALSE,FALSE,0,0,TRUE
Glenn Edward,Porzak,M,1948,USA,FALSE,FALSE,FALSE,FALSE,8050,1981,3,FALSE,FALSE,0,0,TRUE
Michele,Samaja,M,1951,Italy,FALSE,FALSE,FALSE,FALSE,0,1981,3,FALSE,FALSE,0,0,FALSE
Frank Hilding,Sarnquist,M,1942,USA,FALSE,FALSE,FALSE,FALSE,8050,1981,3,FALSE,FALSE,0,0,FALSE
Robert B.,Schoene,M,1946,USA,FALSE,FALSE,FALSE,FALSE,7530,1981,3,FALSE,FALSE,0,0,FALSE
Michael (Mike),Weis,M,1950,USA,FALSE,FALSE,FALSE,FALSE,8050,1981,3,FALSE,FALSE,0,0,FALSE
John Burnard,West,M,1928,UK/USA,FALSE,TRUE,FALSE,FALSE,0,1981,3,FALSE,FALSE,0,0,FALSE
Robert,Winslow,M,1941,USA,FALSE,FALSE,FALSE,FALSE,0,1981,3,FALSE,FALSE,0,0,FALSE
Young/Yong Tenzing,Sherpa,M,1953,Nepal,TRUE,FALSE,FALSE,TRUE,8849,1981,3,FALSE,FALSE,0,0,TRUE
Sungdare,Sherpa,M,1955,Nepal,TRUE,FALSE,FALSE,TRUE,8849,1981,3,FALSE,FALSE,0,0,TRUE
Russell Reginald,Brice,M,1952,New Zealand,FALSE,TRUE,FALSE,FALSE,7770,1981,3,FALSE,FALSE,0,0,FALSE
William C. (Paddy),Freaney,M,1938,New Zealand,FALSE,FALSE,FALSE,FALSE,7770,1981,3,FALSE,FALSE,0,0,FALSE
Richard C.,Blum,M,1935,USA,FALSE,TRUE,FALSE,FALSE,0,1981,3,FALSE,FALSE,0,0,FALSE
Louis French (Lou),Reichardt,M,1942,USA,FALSE,FALSE,FALSE,FALSE,6750,1981,3,FALSE,FALSE,0,0,FALSE
John Fenton Charles,Roskelley,M,1948,USA,FALSE,FALSE,FALSE,FALSE,0,1981,3,FALSE,FALSE,0,0,FALSE
James Dell (Jim),Morrissey,M,1936,USA,FALSE,FALSE,FALSE,FALSE,0,1981,3,FALSE,FALSE,0,0,FALSE
George Henry,Lowe,M,1944,USA,FALSE,FALSE,FALSE,FALSE,6750,1981,3,FALSE,FALSE,0,0,FALSE
Christopher Alan G. (Chris),Jones,M,,USA,FALSE,FALSE,FALSE,FALSE,0,1981,3,FALSE,FALSE,0,0,FALSE
Andrew Carson,Harvard,M,1949,USA,FALSE,FALSE,FALSE,FALSE,0,1981,3,FALSE,FALSE,0,0,FALSE
Eric S.,Perlman,M,1950,USA,FALSE,FALSE,FALSE,FALSE,6400,1981,3,FALSE,FALSE,0,0,FALSE
J. Bruce,McCubbrey,M,,USA,FALSE,FALSE,FALSE,FALSE,0,1981,3,FALSE,FALSE,0,0,FALSE
Scott,MacBeth,M,,USA,FALSE,FALSE,FALSE,FALSE,6400,1981,3,FALSE,FALSE,0,0,FALSE
Vladimir Sergeevich,Balyberdin,M,1949,USSR,FALSE,FALSE,FALSE,TRUE,8849,1982,1,FALSE,FALSE,0,0,FALSE
Sergei Igorevich,Bershov,M,1947,USSR,FALSE,FALSE,FALSE,TRUE,8849,1982,1,FALSE,FALSE,0,0,TRUE
Sergei Geogrievich,Chepachev,M,,USSR,FALSE,FALSE,FALSE,FALSE,8500,1982,1,FALSE,FALSE,0,0,TRUE
Nikolai Dmitrievich,Cherny,M,1938,USSR,FALSE,FALSE,FALSE,FALSE,0,1982,1,FALSE,FALSE,0,0,FALSE
Sergei Borisovich,Efimov,M,1944,USSR,FALSE,FALSE,FALSE,TRUE,8849,1982,1,FALSE,FALSE,0,0,TRUE
Yuri Fedorovich,Golodov,M,,USSR,FALSE,FALSE,FALSE,TRUE,8849,1982,1,FALSE,FALSE,0,0,TRUE
Akai Vakhtangovich,Hergiani,M,,USSR,FALSE,FALSE,FALSE,FALSE,0,1982,1,FALSE,FALSE,0,0,FALSE
Ervand Tikhonovich,Ilyinski,M,1940,USSR,FALSE,FALSE,FALSE,FALSE,8500,1982,1,FALSE,FALSE,0,0,TRUE
Valentin Andreevich,Ivanov,M,1941,USSR,FALSE,FALSE,FALSE,TRUE,8849,1982,1,FALSE,FALSE,0,0,TRUE
Valeri Vasipevich,Khomutov,M,,USSR,FALSE,FALSE,FALSE,TRUE,8849,1982,1,FALSE,FALSE,0,0,TRUE
Valeri Nikolaevich,Khrishchati,M,1951,USSR,FALSE,FALSE,FALSE,TRUE,8849,1982,1,FALSE,FALSE,0,0,TRUE
Dmitri Ivanovich,Kovalenko,M,,USSR,FALSE,FALSE,FALSE,FALSE,0,1982,1,FALSE,FALSE,0,0,FALSE
Yuri Viacheslavovich,Kononov,M,,USSR,FALSE,FALSE,FALSE,FALSE,0,1982,1,FALSE,FALSE,0,0,FALSE
Alexei Vadimovich,Moskaltsov,M,,USSR,FALSE,FALSE,FALSE,FALSE,0,1982,1,FALSE,FALSE,0,0,FALSE
Eduard Vikentevich,Myslovsky,M,1937,USSR,FALSE,FALSE,FALSE,TRUE,8849,1982,1,FALSE,FALSE,0,0,TRUE
Vyacheslav Petrovich,Onischenko,M,,USSR,FALSE,FALSE,FALSE,FALSE,0,1982,1,FALSE,FALSE,0,0,FALSE
Svet Petrovich,Orlovsky,M,,USSR,FALSE,FALSE,FALSE,FALSE,0,1982,1,FALSE,FALSE,0,0,FALSE
Anatoli Geogrievich,Ovchinnikov,M,,USSR,FALSE,FALSE,FALSE,FALSE,0,1982,1,FALSE,FALSE,0,0,FALSE
Vladimir Nikolaevich,Puchkov,M,,USSR,FALSE,FALSE,FALSE,TRUE,8849,1982,1,FALSE,FALSE,0,0,TRUE
Evgeny Igorevich,Tamm,M,,USSR,FALSE,TRUE,FALSE,FALSE,0,1982,1,FALSE,FALSE,0,0,FALSE
Leonid Andreevich,Troshchinenko,M,1945,USSR,FALSE,FALSE,FALSE,FALSE,0,1982,1,FALSE,FALSE,0,0,FALSE
Mikhail Mikhailovich,Turkevich,M,1953,USSR,FALSE,FALSE,FALSE,TRUE,8849,1982,1,FALSE,FALSE,0,0,TRUE
Kazbek Shakimovich,Valiev,M,1952,USSR,FALSE,FALSE,FALSE,TRUE,8849,1982,1,FALSE,FALSE,0,0,TRUE
Valentin Vitalevich,Vendelovsky,M,,USSR,FALSE,FALSE,FALSE,FALSE,0,1982,1,FALSE,FALSE,0,0,FALSE
Vladimir Aleksandrovich,Voskobinikov,M,1939,USSR,FALSE,FALSE,FALSE,FALSE,0,1982,1,FALSE,FALSE,0,0,FALSE
Louis Winslow (Lou),Whittaker,M,1929,USA,FALSE,TRUE,FALSE,FALSE,0,1982,1,FALSE,FALSE,0,0,FALSE
Lawrence Darius (Larry),Nielson,M,1947,USA,FALSE,FALSE,FALSE,FALSE,8400,1982,1,TRUE,FALSE,3,0,FALSE
David R. (Dave),Mahre,M,1927,USA,FALSE,FALSE,FALSE,FALSE,8015,1982,1,FALSE,FALSE,0,0,FALSE
Mary Francis (Marty),Hoey,F,1951,USA,FALSE,FALSE,FALSE,FALSE,7950,1982,1,FALSE,TRUE,0,4,FALSE
James F. (Jim),Wickwire,M,1940,USA,FALSE,FALSE,FALSE,FALSE,7950,1982,1,FALSE,FALSE,0,0,FALSE
Jaume,Altadill Clua,M,1950,Spain,FALSE,FALSE,FALSE,FALSE,0,1982,3,FALSE,FALSE,0,0,FALSE
Josep Manuel,Anglada Nieto,M,1933,Spain,FALSE,FALSE,FALSE,FALSE,0,1982,3,FALSE,FALSE,0,0,FALSE
Lluis,Belvis del Rio,M,1953,Spain,FALSE,TRUE,FALSE,FALSE,0,1982,3,FALSE,FALSE,0,0,FALSE
Oscar,Cadiach Puig,M,1952,Spain,FALSE,FALSE,FALSE,FALSE,8500,1982,3,FALSE,FALSE,0,0,TRUE
Josep,Casanovas Garcia,M,1953,Spain,FALSE,FALSE,FALSE,FALSE,0,1982,3,FALSE,FALSE,0,0,FALSE
Emilio,Civis Abad,M,1943,Spain,FALSE,FALSE,FALSE,FALSE,0,1982,3,FALSE,FALSE,0,0,FALSE
